GEOID,NAME,variable,estimate,moe,year
2915670,"Columbia city, Missouri",estimate,NA,NA,2010
2915670,"Columbia city, Missouri",percent,51.6,1.6,2010
2915670,"Columbia city, Missouri",estimate,NA,NA,2011
2915670,"Columbia city, Missouri",percent,52.2,1.6,2011
2915670,"Columbia city, Missouri",estimate,NA,NA,2012
2915670,"Columbia city, Missouri",percent,54.1,1.6,2012
2915670,"Columbia city, Missouri",estimate,NA,NA,2013
2915670,"Columbia city, Missouri",percent,54.5,1.8,2013
2915670,"Columbia city, Missouri",estimate,NA,NA,2014
2915670,"Columbia city, Missouri",percent,55.9,1.6,2014
2915670,"Columbia city, Missouri",estimate,NA,NA,2015
2915670,"Columbia city, Missouri",percent,55.5,1.5,2015
2915670,"Columbia city, Missouri",estimate,NA,NA,2016
2915670,"Columbia city, Missouri",percent,54.8,1.5,2016
2915670,"Columbia city, Missouri",estimate,NA,NA,2017
2915670,"Columbia city, Missouri",percent,53.4,1.8,2017
2915670,"Columbia city, Missouri",estimate,35392,1211,2018
2915670,"Columbia city, Missouri",percent,52.8,1.7,2018
2915670,"Columbia city, Missouri",estimate,35709,1237,2019
2915670,"Columbia city, Missouri",percent,52.2,1.7,2019
2915670,"Columbia city, Missouri",estimate,37112,1452,2020
2915670,"Columbia city, Missouri",percent,53.3,2,2020
