GEOID,NAME,variable,estimate,moe,year
2915670,"Columbia city, Missouri",median_age,26.7,0.5,2011
2915670,"Columbia city, Missouri",median_age,26.9,0.4,2012
2915670,"Columbia city, Missouri",median_age,26.6,0.4,2013
2915670,"Columbia city, Missouri",median_age,26.6,0.4,2014
2915670,"Columbia city, Missouri",median_age,26.9,0.4,2015
2915670,"Columbia city, Missouri",median_age,27.4,0.5,2016
2915670,"Columbia city, Missouri",median_age,27.6,0.4,2017
2915670,"Columbia city, Missouri",median_age,28.2,0.4,2018
2915670,"Columbia city, Missouri",median_age,28.5,0.3,2019
2915670,"Columbia city, Missouri",median_age,28.8,0.4,2020
