GEOID,NAME,variable,estimate,moe,summary_est,summary_moe,year
2915670,"Columbia city, Missouri",White,46710,1687,43102,1265,2011
2915670,"Columbia city, Missouri",Black,28910,4180,43102,1265,2011
2915670,"Columbia city, Missouri",Asian,32768,6861,43102,1265,2011
2915670,"Columbia city, Missouri",Hispanic,53290,15435,43102,1265,2011
2915670,"Columbia city, Missouri",White,46638,1791,43084,1417,2012
2915670,"Columbia city, Missouri",Black,28736,4006,43084,1417,2012
2915670,"Columbia city, Missouri",Asian,37073,7789,43084,1417,2012
2915670,"Columbia city, Missouri",Hispanic,38165,9024,43084,1417,2012
2915670,"Columbia city, Missouri",White,46455,2370,43262,1306,2013
2915670,"Columbia city, Missouri",Black,27750,9130,43262,1306,2013
2915670,"Columbia city, Missouri",Asian,41016,6665,43262,1306,2013
2915670,"Columbia city, Missouri",Hispanic,43359,14447,43262,1306,2013
2915670,"Columbia city, Missouri",White,47076,1781,43776,1599,2014
2915670,"Columbia city, Missouri",Black,26860,6492,43776,1599,2014
2915670,"Columbia city, Missouri",Asian,38561,9342,43776,1599,2014
2915670,"Columbia city, Missouri",Hispanic,46765,20960,43776,1599,2014
2915670,"Columbia city, Missouri",White,48042,2221,44907,2063,2015
2915670,"Columbia city, Missouri",Black,29256,5709,44907,2063,2015
2915670,"Columbia city, Missouri",Asian,34362,7237,44907,2063,2015
2915670,"Columbia city, Missouri",Hispanic,41327,12994,44907,2063,2015
2915670,"Columbia city, Missouri",White,49475,2148,45221,1735,2016
2915670,"Columbia city, Missouri",Black,28826,3132,45221,1735,2016
2915670,"Columbia city, Missouri",Asian,38647,7574,45221,1735,2016
2915670,"Columbia city, Missouri",Hispanic,45978,26980,45221,1735,2016
2915670,"Columbia city, Missouri",White,50954,1556,47236,1761,2017
2915670,"Columbia city, Missouri",Black,31454,6622,47236,1761,2017
2915670,"Columbia city, Missouri",Asian,42180,3521,47236,1761,2017
2915670,"Columbia city, Missouri",Hispanic,68188,25319,47236,1761,2017
2915670,"Columbia city, Missouri",White,53330,2267,49277,2053,2018
2915670,"Columbia city, Missouri",Black,34247,7544,49277,2053,2018
2915670,"Columbia city, Missouri",Asian,44348,4701,49277,2053,2018
2915670,"Columbia city, Missouri",Hispanic,42202,13441,49277,2053,2018
2915670,"Columbia city, Missouri",White,55581,2372,51276,2035,2019
2915670,"Columbia city, Missouri",Black,32331,6729,51276,2035,2019
2915670,"Columbia city, Missouri",Asian,50054,6474,51276,2035,2019
2915670,"Columbia city, Missouri",Hispanic,36585,11523,51276,2035,2019
2915670,"Columbia city, Missouri",White,56331,2491,53447,2355,2020
2915670,"Columbia city, Missouri",Black,33237,4912,53447,2355,2020
2915670,"Columbia city, Missouri",Asian,66885,13801,53447,2355,2020
2915670,"Columbia city, Missouri",Hispanic,42569,21727,53447,2355,2020
