GEOID,NAME,variable,estimate,moe,year
2915670,"Columbia city, Missouri",unemployment_rate,6.1,0.8,2010
2915670,"Columbia city, Missouri",unemployment_rate,6.1,0.7,2011
2915670,"Columbia city, Missouri",unemployment_rate,6.4,0.7,2012
2915670,"Columbia city, Missouri",unemployment_rate,5.8,0.7,2013
2915670,"Columbia city, Missouri",unemployment_rate,5.3,0.9,2014
2915670,"Columbia city, Missouri",unemployment_rate,4.8,0.7,2015
2915670,"Columbia city, Missouri",unemployment_rate,4.2,0.7,2016
2915670,"Columbia city, Missouri",unemployment_rate,4.3,0.8,2017
2915670,"Columbia city, Missouri",unemployment_rate,4.1,0.7,2018
2915670,"Columbia city, Missouri",unemployment_rate,4.4,0.8,2019
2915670,"Columbia city, Missouri",unemployment_rate,3.5,0.7,2020
