GEOID,NAME,variable,estimate,moe,sex
2915670,Columbia,0-4,-6.2,0.5,Male
2915670,Columbia,5-9,-5.4,0.6,Male
2915670,Columbia,10-14,-5.3,0.7,Male
2915670,Columbia,15-19,-9.1,0.6,Male
2915670,Columbia,20-24,-19,0.8,Male
2915670,Columbia,25-29,-10.5,0.4,Male
2915670,Columbia,30-34,-7.8,0.5,Male
2915670,Columbia,35-39,-5.6,0.7,Male
2915670,Columbia,40-44,-5.4,0.6,Male
2915670,Columbia,45-49,-4.4,0.4,Male
2915670,Columbia,50-54,-5.1,0.4,Male
2915670,Columbia,55-59,-4.5,0.4,Male
2915670,Columbia,60-64,-3.8,0.4,Male
2915670,Columbia,65-69,-2.9,0.3,Male
2915670,Columbia,70-74,-1.9,0.3,Male
2915670,Columbia,75-79,-1.3,0.2,Male
2915670,Columbia,80-84,-1,0.2,Male
2915670,Columbia,85+,-0.9,0.2,Male
2915670,Columbia,0-4,6.1,0.4,Female
2915670,Columbia,5-9,4.6,0.6,Female
2915670,Columbia,10-14,4.5,0.5,Female
2915670,Columbia,15-19,10.3,0.5,Female
2915670,Columbia,20-24,21,0.6,Female
2915670,Columbia,25-29,8.5,0.5,Female
2915670,Columbia,30-34,6.7,0.4,Female
2915670,Columbia,35-39,4.5,0.6,Female
2915670,Columbia,40-44,5.4,0.6,Female
2915670,Columbia,45-49,4.6,0.3,Female
2915670,Columbia,50-54,5.1,0.4,Female
2915670,Columbia,55-59,5,0.5,Female
2915670,Columbia,60-64,3.9,0.5,Female
2915670,Columbia,65-69,2.6,0.4,Female
2915670,Columbia,70-74,2.3,0.3,Female
2915670,Columbia,75-79,1.5,0.3,Female
2915670,Columbia,80-84,1.6,0.5,Female
2915670,Columbia,85+,1.8,0.3,Female
